#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
3.100025031597779090e+01,5.959000000000000000e+03,1.768000000000000000e+03,1.906000000000000000e+03,1.418000000000000000e+03,3.610000000000000000e+02,6.000000000000000000e+00,8.970000000000000000e+02,6.000000000000000000e+00,2.650000000000000000e+02,2.140000000000000000e+02
3.200117597153943194e+01,5.860000000000000000e+03,1.775000000000000000e+03,1.957000000000000000e+03,1.443000000000000000e+03,4.020000000000000000e+02,6.000000000000000000e+00,9.200000000000000000e+02,6.000000000000000000e+00,2.820000000000000000e+02,2.260000000000000000e+02
3.300048830969775082e+01,5.803000000000000000e+03,1.727000000000000000e+03,2.020000000000000000e+03,1.471000000000000000e+03,4.420000000000000000e+02,8.000000000000000000e+00,9.400000000000000000e+02,6.000000000000000000e+00,3.050000000000000000e+02,2.420000000000000000e+02
3.400016880926528984e+01,5.727000000000000000e+03,1.690000000000000000e+03,2.092000000000000000e+03,1.508000000000000000e+03,4.820000000000000000e+02,9.000000000000000000e+00,9.730000000000000000e+02,6.000000000000000000e+00,3.300000000000000000e+02,2.480000000000000000e+02
3.500394822027548969e+01,5.665000000000000000e+03,1.665000000000000000e+03,2.134000000000000000e+03,1.523000000000000000e+03,5.270000000000000000e+02,9.000000000000000000e+00,9.980000000000000000e+02,6.000000000000000000e+00,3.510000000000000000e+02,2.570000000000000000e+02
3.600104237520796602e+01,5.585000000000000000e+03,1.631000000000000000e+03,2.210000000000000000e+03,1.554000000000000000e+03,5.620000000000000000e+02,1.200000000000000000e+01,1.027000000000000000e+03,6.000000000000000000e+00,3.840000000000000000e+02,2.710000000000000000e+02
3.700004655886109362e+01,5.520000000000000000e+03,1.595000000000000000e+03,2.266000000000000000e+03,1.574000000000000000e+03,6.050000000000000000e+02,1.400000000000000000e+01,1.054000000000000000e+03,6.000000000000000000e+00,4.170000000000000000e+02,2.760000000000000000e+02
3.800225577284274436e+01,5.450000000000000000e+03,1.550000000000000000e+03,2.316000000000000000e+03,1.598000000000000000e+03,6.690000000000000000e+02,1.500000000000000000e+01,1.083000000000000000e+03,6.000000000000000000e+00,4.510000000000000000e+02,2.700000000000000000e+02
3.900032650283909419e+01,5.397000000000000000e+03,1.499000000000000000e+03,2.367000000000000000e+03,1.610000000000000000e+03,7.200000000000000000e+02,1.700000000000000000e+01,1.093000000000000000e+03,6.000000000000000000e+00,4.740000000000000000e+02,2.790000000000000000e+02
4.000033834119170706e+01,5.339000000000000000e+03,1.468000000000000000e+03,2.407000000000000000e+03,1.611000000000000000e+03,7.670000000000000000e+02,1.900000000000000000e+01,1.112000000000000000e+03,6.000000000000000000e+00,5.010000000000000000e+02,2.800000000000000000e+02
4.100092691261911426e+01,5.282000000000000000e+03,1.439000000000000000e+03,2.445000000000000000e+03,1.608000000000000000e+03,8.150000000000000000e+02,1.900000000000000000e+01,1.137000000000000000e+03,6.000000000000000000e+00,5.340000000000000000e+02,2.860000000000000000e+02
4.200001045882330430e+01,5.219000000000000000e+03,1.419000000000000000e+03,2.479000000000000000e+03,1.598000000000000000e+03,8.620000000000000000e+02,2.100000000000000000e+01,1.157000000000000000e+03,6.000000000000000000e+00,5.650000000000000000e+02,2.980000000000000000e+02
4.300239950112114684e+01,5.168000000000000000e+03,1.379000000000000000e+03,2.507000000000000000e+03,1.588000000000000000e+03,9.210000000000000000e+02,2.500000000000000000e+01,1.173000000000000000e+03,6.000000000000000000e+00,5.910000000000000000e+02,3.070000000000000000e+02
4.400153312544399853e+01,5.118000000000000000e+03,1.339000000000000000e+03,2.545000000000000000e+03,1.586000000000000000e+03,9.700000000000000000e+02,2.800000000000000000e+01,1.195000000000000000e+03,6.000000000000000000e+00,6.210000000000000000e+02,3.090000000000000000e+02
4.500047093795699737e+01,5.055000000000000000e+03,1.316000000000000000e+03,2.566000000000000000e+03,1.578000000000000000e+03,1.034000000000000000e+03,2.900000000000000000e+01,1.209000000000000000e+03,6.000000000000000000e+00,6.430000000000000000e+02,3.180000000000000000e+02
4.600353207909617481e+01,4.987000000000000000e+03,1.304000000000000000e+03,2.586000000000000000e+03,1.566000000000000000e+03,1.093000000000000000e+03,3.000000000000000000e+01,1.226000000000000000e+03,6.000000000000000000e+00,6.700000000000000000e+02,3.260000000000000000e+02
4.700191984751570118e+01,4.938000000000000000e+03,1.276000000000000000e+03,2.602000000000000000e+03,1.539000000000000000e+03,1.151000000000000000e+03,3.300000000000000000e+01,1.238000000000000000e+03,6.000000000000000000e+00,6.950000000000000000e+02,3.330000000000000000e+02
4.800056696657865984e+01,4.885000000000000000e+03,1.255000000000000000e+03,2.608000000000000000e+03,1.522000000000000000e+03,1.212000000000000000e+03,4.000000000000000000e+01,1.256000000000000000e+03,6.000000000000000000e+00,7.250000000000000000e+02,3.360000000000000000e+02
4.900090752003929140e+01,4.834000000000000000e+03,1.209000000000000000e+03,2.636000000000000000e+03,1.525000000000000000e+03,1.278000000000000000e+03,4.300000000000000000e+01,1.274000000000000000e+03,6.000000000000000000e+00,7.470000000000000000e+02,3.310000000000000000e+02
5.000238136854545701e+01,4.790000000000000000e+03,1.185000000000000000e+03,2.635000000000000000e+03,1.509000000000000000e+03,1.343000000000000000e+03,4.700000000000000000e+01,1.283000000000000000e+03,6.000000000000000000e+00,7.650000000000000000e+02,3.360000000000000000e+02
5.100032273558100115e+01,4.740000000000000000e+03,1.161000000000000000e+03,2.638000000000000000e+03,1.487000000000000000e+03,1.408000000000000000e+03,5.300000000000000000e+01,1.301000000000000000e+03,6.000000000000000000e+00,7.860000000000000000e+02,3.280000000000000000e+02
