#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases, 11: Cumulative Inf Count 
1.800000000000000000e+01,9.837000000000000000e+03,7.700000000000000000e+01,7.900000000000000000e+01,4.500000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,1.760000000000000000e+02
1.900000000000000000e+01,9.820000000000000000e+03,8.300000000000000000e+01,9.000000000000000000e+01,4.900000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,1.800000000000000000e+01,1.960000000000000000e+02
2.000000000000000000e+01,9.797000000000000000e+03,9.400000000000000000e+01,1.030000000000000000e+02,5.300000000000000000e+01,1.700000000000000000e+01,1.000000000000000000e+00,4.200000000000000000e+01,6.000000000000000000e+00,7.000000000000000000e+00,2.100000000000000000e+01,2.230000000000000000e+02
2.100000000000000000e+01,9.775000000000000000e+03,9.400000000000000000e+01,1.240000000000000000e+02,6.400000000000000000e+01,2.100000000000000000e+01,1.000000000000000000e+00,4.900000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+00,2.200000000000000000e+01,2.490000000000000000e+02
2.200000000000000000e+01,9.750000000000000000e+03,1.050000000000000000e+02,1.350000000000000000e+02,6.700000000000000000e+01,2.700000000000000000e+01,1.000000000000000000e+00,5.200000000000000000e+01,6.000000000000000000e+00,9.000000000000000000e+00,2.400000000000000000e+01,2.770000000000000000e+02
2.300000000000000000e+01,9.726000000000000000e+03,1.120000000000000000e+02,1.490000000000000000e+02,7.300000000000000000e+01,3.300000000000000000e+01,1.000000000000000000e+00,5.700000000000000000e+01,6.000000000000000000e+00,1.300000000000000000e+01,2.300000000000000000e+01,3.040000000000000000e+02
2.400000000000000000e+01,9.697000000000000000e+03,1.240000000000000000e+02,1.650000000000000000e+02,8.100000000000000000e+01,3.600000000000000000e+01,1.000000000000000000e+00,6.200000000000000000e+01,6.000000000000000000e+00,1.600000000000000000e+01,2.800000000000000000e+01,3.370000000000000000e+02
2.500000000000000000e+01,9.670000000000000000e+03,1.340000000000000000e+02,1.750000000000000000e+02,8.300000000000000000e+01,4.600000000000000000e+01,1.000000000000000000e+00,7.400000000000000000e+01,6.000000000000000000e+00,1.900000000000000000e+01,3.000000000000000000e+01,3.680000000000000000e+02
2.600000000000000000e+01,9.630000000000000000e+03,1.590000000000000000e+02,1.830000000000000000e+02,8.500000000000000000e+01,5.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+01,6.000000000000000000e+00,2.400000000000000000e+01,3.100000000000000000e+01,4.110000000000000000e+02
2.700000000000000000e+01,9.602000000000000000e+03,1.660000000000000000e+02,1.950000000000000000e+02,9.600000000000000000e+01,6.800000000000000000e+01,1.000000000000000000e+00,8.800000000000000000e+01,6.000000000000000000e+00,2.700000000000000000e+01,2.900000000000000000e+01,4.420000000000000000e+02
