#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
3.600000000000000000e+01,9.745000000000000000e+03,9.600000000000000000e+01,1.010000000000000000e+02,4.200000000000000000e+01,5.800000000000000000e+01,0.000000000000000000e+00,4.300000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+01
3.700000000000000000e+01,9.722000000000000000e+03,1.060000000000000000e+02,1.080000000000000000e+02,4.700000000000000000e+01,6.400000000000000000e+01,0.000000000000000000e+00,4.700000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+00,4.200000000000000000e+01
3.800000000000000000e+01,9.696000000000000000e+03,1.190000000000000000e+02,1.150000000000000000e+02,5.000000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00,5.200000000000000000e+01,6.000000000000000000e+00,9.000000000000000000e+00,4.800000000000000000e+01
3.900000000000000000e+01,9.681000000000000000e+03,1.200000000000000000e+02,1.220000000000000000e+02,5.700000000000000000e+01,7.600000000000000000e+01,1.000000000000000000e+00,5.600000000000000000e+01,6.000000000000000000e+00,9.000000000000000000e+00,5.300000000000000000e+01
4.000000000000000000e+01,9.661000000000000000e+03,1.240000000000000000e+02,1.320000000000000000e+02,5.900000000000000000e+01,8.200000000000000000e+01,1.000000000000000000e+00,5.900000000000000000e+01,6.000000000000000000e+00,1.100000000000000000e+01,5.200000000000000000e+01
4.100000000000000000e+01,9.637000000000000000e+03,1.320000000000000000e+02,1.430000000000000000e+02,5.800000000000000000e+01,8.600000000000000000e+01,2.000000000000000000e+00,6.200000000000000000e+01,6.000000000000000000e+00,1.300000000000000000e+01,5.700000000000000000e+01
4.200000000000000000e+01,9.619000000000000000e+03,1.380000000000000000e+02,1.480000000000000000e+02,5.600000000000000000e+01,9.300000000000000000e+01,2.000000000000000000e+00,6.300000000000000000e+01,6.000000000000000000e+00,1.100000000000000000e+01,5.900000000000000000e+01
4.300000000000000000e+01,9.596000000000000000e+03,1.440000000000000000e+02,1.610000000000000000e+02,6.100000000000000000e+01,9.700000000000000000e+01,2.000000000000000000e+00,6.600000000000000000e+01,6.000000000000000000e+00,1.100000000000000000e+01,6.200000000000000000e+01
4.400000000000000000e+01,9.568000000000000000e+03,1.540000000000000000e+02,1.730000000000000000e+02,6.700000000000000000e+01,1.030000000000000000e+02,2.000000000000000000e+00,7.500000000000000000e+01,6.000000000000000000e+00,1.300000000000000000e+01,6.700000000000000000e+01
4.500000000000000000e+01,9.526000000000000000e+03,1.730000000000000000e+02,1.830000000000000000e+02,7.400000000000000000e+01,1.160000000000000000e+02,2.000000000000000000e+00,8.200000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+01,6.900000000000000000e+01
4.600000000000000000e+01,9.503000000000000000e+03,1.740000000000000000e+02,1.970000000000000000e+02,8.400000000000000000e+01,1.240000000000000000e+02,2.000000000000000000e+00,8.200000000000000000e+01,6.000000000000000000e+00,2.100000000000000000e+01,7.700000000000000000e+01
4.700000000000000000e+01,9.482000000000000000e+03,1.750000000000000000e+02,2.060000000000000000e+02,8.300000000000000000e+01,1.350000000000000000e+02,2.000000000000000000e+00,8.300000000000000000e+01,6.000000000000000000e+00,2.200000000000000000e+01,8.500000000000000000e+01
4.800000000000000000e+01,9.444000000000000000e+03,1.920000000000000000e+02,2.220000000000000000e+02,8.700000000000000000e+01,1.400000000000000000e+02,2.000000000000000000e+00,8.800000000000000000e+01,6.000000000000000000e+00,2.500000000000000000e+01,9.300000000000000000e+01
4.900000000000000000e+01,9.416000000000000000e+03,2.050000000000000000e+02,2.280000000000000000e+02,8.200000000000000000e+01,1.480000000000000000e+02,3.000000000000000000e+00,9.600000000000000000e+01,6.000000000000000000e+00,2.600000000000000000e+01,9.100000000000000000e+01
5.000000000000000000e+01,9.385000000000000000e+03,2.090000000000000000e+02,2.430000000000000000e+02,9.400000000000000000e+01,1.600000000000000000e+02,3.000000000000000000e+00,1.030000000000000000e+02,6.000000000000000000e+00,3.100000000000000000e+01,1.000000000000000000e+02
5.100000000000000000e+01,9.343000000000000000e+03,2.140000000000000000e+02,2.700000000000000000e+02,1.100000000000000000e+02,1.690000000000000000e+02,4.000000000000000000e+00,1.100000000000000000e+02,6.000000000000000000e+00,3.400000000000000000e+01,1.020000000000000000e+02
5.200000000000000000e+01,9.288000000000000000e+03,2.400000000000000000e+02,2.880000000000000000e+02,1.130000000000000000e+02,1.780000000000000000e+02,6.000000000000000000e+00,1.240000000000000000e+02,6.000000000000000000e+00,3.300000000000000000e+01,1.120000000000000000e+02
5.300000000000000000e+01,9.244000000000000000e+03,2.560000000000000000e+02,3.040000000000000000e+02,1.200000000000000000e+02,1.900000000000000000e+02,6.000000000000000000e+00,1.310000000000000000e+02,6.000000000000000000e+00,3.700000000000000000e+01,1.200000000000000000e+02
5.400000000000000000e+01,9.188000000000000000e+03,2.770000000000000000e+02,3.190000000000000000e+02,1.310000000000000000e+02,2.100000000000000000e+02,6.000000000000000000e+00,1.350000000000000000e+02,6.000000000000000000e+00,4.100000000000000000e+01,1.180000000000000000e+02
5.500000000000000000e+01,9.137000000000000000e+03,2.950000000000000000e+02,3.360000000000000000e+02,1.360000000000000000e+02,2.260000000000000000e+02,6.000000000000000000e+00,1.450000000000000000e+02,6.000000000000000000e+00,4.800000000000000000e+01,1.230000000000000000e+02
5.600000000000000000e+01,9.083000000000000000e+03,3.120000000000000000e+02,3.610000000000000000e+02,1.500000000000000000e+02,2.380000000000000000e+02,6.000000000000000000e+00,1.590000000000000000e+02,6.000000000000000000e+00,5.800000000000000000e+01,1.270000000000000000e+02
5.700000000000000000e+01,9.032000000000000000e+03,3.250000000000000000e+02,3.820000000000000000e+02,1.450000000000000000e+02,2.550000000000000000e+02,6.000000000000000000e+00,1.670000000000000000e+02,6.000000000000000000e+00,6.300000000000000000e+01,1.280000000000000000e+02
5.800000000000000000e+01,8.973000000000000000e+03,3.460000000000000000e+02,4.000000000000000000e+02,1.520000000000000000e+02,2.740000000000000000e+02,7.000000000000000000e+00,1.710000000000000000e+02,6.000000000000000000e+00,6.800000000000000000e+01,1.440000000000000000e+02
5.900000000000000000e+01,8.891000000000000000e+03,3.800000000000000000e+02,4.280000000000000000e+02,1.680000000000000000e+02,2.920000000000000000e+02,9.000000000000000000e+00,1.800000000000000000e+02,6.000000000000000000e+00,7.200000000000000000e+01,1.560000000000000000e+02
6.000000000000000000e+01,8.838000000000000000e+03,3.910000000000000000e+02,4.510000000000000000e+02,1.740000000000000000e+02,3.110000000000000000e+02,9.000000000000000000e+00,1.900000000000000000e+02,6.000000000000000000e+00,7.800000000000000000e+01,1.580000000000000000e+02
6.100000000000000000e+01,8.763000000000000000e+03,4.270000000000000000e+02,4.670000000000000000e+02,1.670000000000000000e+02,3.330000000000000000e+02,1.000000000000000000e+01,2.030000000000000000e+02,6.000000000000000000e+00,7.900000000000000000e+01,1.600000000000000000e+02
6.200000000000000000e+01,8.690000000000000000e+03,4.500000000000000000e+02,4.930000000000000000e+02,1.810000000000000000e+02,3.560000000000000000e+02,1.100000000000000000e+01,2.090000000000000000e+02,6.000000000000000000e+00,7.700000000000000000e+01,1.740000000000000000e+02
6.300000000000000000e+01,8.621000000000000000e+03,4.700000000000000000e+02,5.130000000000000000e+02,1.820000000000000000e+02,3.830000000000000000e+02,1.300000000000000000e+01,2.140000000000000000e+02,6.000000000000000000e+00,8.200000000000000000e+01,1.860000000000000000e+02
6.400000000000000000e+01,8.545000000000000000e+03,4.880000000000000000e+02,5.450000000000000000e+02,1.990000000000000000e+02,4.090000000000000000e+02,1.300000000000000000e+01,2.290000000000000000e+02,6.000000000000000000e+00,8.900000000000000000e+01,2.000000000000000000e+02
6.500000000000000000e+01,8.450000000000000000e+03,5.280000000000000000e+02,5.670000000000000000e+02,2.130000000000000000e+02,4.390000000000000000e+02,1.600000000000000000e+01,2.410000000000000000e+02,6.000000000000000000e+00,9.200000000000000000e+01,2.060000000000000000e+02
6.600000000000000000e+01,8.348000000000000000e+03,5.630000000000000000e+02,6.020000000000000000e+02,2.280000000000000000e+02,4.710000000000000000e+02,1.600000000000000000e+01,2.600000000000000000e+02,6.000000000000000000e+00,9.400000000000000000e+01,2.180000000000000000e+02
6.700000000000000000e+01,8.251000000000000000e+03,5.960000000000000000e+02,6.430000000000000000e+02,2.370000000000000000e+02,4.930000000000000000e+02,1.700000000000000000e+01,2.740000000000000000e+02,6.000000000000000000e+00,9.800000000000000000e+01,2.430000000000000000e+02
6.800000000000000000e+01,8.155000000000000000e+03,6.150000000000000000e+02,6.920000000000000000e+02,2.610000000000000000e+02,5.200000000000000000e+02,1.800000000000000000e+01,2.940000000000000000e+02,6.000000000000000000e+00,1.070000000000000000e+02,2.600000000000000000e+02
6.900000000000000000e+01,8.073000000000000000e+03,6.280000000000000000e+02,7.270000000000000000e+02,2.650000000000000000e+02,5.540000000000000000e+02,1.800000000000000000e+01,3.070000000000000000e+02,6.000000000000000000e+00,1.200000000000000000e+02,2.750000000000000000e+02
7.000000000000000000e+01,7.941000000000000000e+03,6.770000000000000000e+02,7.690000000000000000e+02,2.800000000000000000e+02,5.910000000000000000e+02,2.200000000000000000e+01,3.250000000000000000e+02,6.000000000000000000e+00,1.260000000000000000e+02,2.880000000000000000e+02
7.100000000000000000e+01,7.830000000000000000e+03,7.060000000000000000e+02,8.080000000000000000e+02,3.000000000000000000e+02,6.300000000000000000e+02,2.600000000000000000e+01,3.390000000000000000e+02,6.000000000000000000e+00,1.310000000000000000e+02,3.000000000000000000e+02
7.200000000000000000e+01,7.712000000000000000e+03,7.230000000000000000e+02,8.730000000000000000e+02,3.360000000000000000e+02,6.640000000000000000e+02,2.800000000000000000e+01,3.510000000000000000e+02,6.000000000000000000e+00,1.420000000000000000e+02,3.220000000000000000e+02
7.300000000000000000e+01,7.583000000000000000e+03,7.450000000000000000e+02,9.350000000000000000e+02,3.850000000000000000e+02,7.070000000000000000e+02,3.000000000000000000e+01,3.720000000000000000e+02,6.000000000000000000e+00,1.450000000000000000e+02,3.430000000000000000e+02
